words,count
demografía,11201
química y ciencia de materiales,10749
bioquímica,6595
modelos animales y zoología,5465
metodología de investigación,5129
anatomía y biología celular,4884
física e ingeniería,3872
técnicas analíticas,3627
ciencias ambientales,3518
farmacología,3272
patología y enfermedades,2966
informática y matemáticas,2962
genética,2918
salud pública,2369
microbiología,1571
geografía,1370
miscelánea científica,1304
botánica y agricultura,1069
inmunología,996
psicología y comportamiento,838
"rats,_wistar",153
concentration_(composition),104
federal_district_[mexico],88
synthesis_(chemical),83
"growth,_development_and_aging",82
"disease_models,_animal",77
"child,_preschool",76
biología (general),60
"dose-response_relationship,_drug",59
"cell_line,_tumor",59
concentration_(parameter),49
"cells,_cultured",43
"infant,_newborn",43
"biodegradation,_environmental",42
concentration_(parameters),41
"models,_molecular",40
]+_catalyst,38
"water_pollutants,_chemical",38
precipitation_(chemical),35
"polymorphism,_single_nucleotide",35
plant_(botany),35
simple++,35
classification_(of_information),33
degree_of_freedom_(mechanics),30
"behavior,_animal",29
"mice,_inbred_balb_c",29
metalorganic_framework_(mofs),28
"rna,_messenger",28
oligosaccharide,27
ultrasonics,27
fungal_protein,27
ethnology,27
neurotoxicity,27
tissue_engineering,27
breathing_rate,27
light_scattering,27
diastolic_blood_pressure,27
thiobarbituric_acid_reactive_substance,27
light_absorption,27
social_networking_(online),27
caffeine,27
self_report,27
chemical_compound,27
astrocyte,27
mental_stress,27
dynamical_system,27
mass_fragmentography,27
circadian_rhythm,27
electrodeposition,27
sediment,27
hydroxyapatite,27
growth_kinetics,27
iterative_method,27
liver_cell,27
carcinogenesis,27
polyester,27
solid-state_fermentation,27
refractive_index,27
cisplatin,27
ultraviolet_visible_spectroscopy,27
photon,26
glass_transition,26
mineralization,26
electrophysiology,26
chemical_interaction,26
tensile_strength,26
population_growth,26
disabled_person,26
reaction_mechanism,26
structural_dynamic,26
esterification,26
stiffness,26
anthozoa,26
learning_system,26
ionic_liquid,26
evaluation_study,26
salvia,26
flower,26
mtt_assay,26
tuberculosis,26
electromagnetic_field,26
nonradiative_energy_transfer,26
analytical_expression,26
numerical_result,26
drug_blood_level,26
memory_disorder,26
heterojunctions,26
electrocardiography,26
asteraceae,26
dissolved_oxygen,26
sprague_dawley_rat,26
biomolecules,26
intestine_flora,26
inoculation,26
geography,26
sodium_hydroxide,26
milk_production,26
qualitative_analysis,26
glass_membrane_electrode,26
antiproliferative_activity,26
mouth_disease,26
meta_analysis,26
life_cycle,26
raman_spectroscopy,26
granulosa_cell,26
shear_flow,26
goat,26
graphite,26
hospitalization,26
air_pollution,26
natural_language_processing_system,25
sustainability,25
population_statistic,25
magnesium,25
chiroptera,25
bacterium_identification,25
eating,25
electrochemical_technique,25
phytotherapy,25
high_temperature,25
elasticity,25
quality_adjusted_life_year,25
chicken,25
reaction_analysis,25
letter,25
architectural_design,25
leukocyte_count,25
docosahexaenoic_acid,25
vegetable,25
spectrum_analysis,25
desorption,25
fossil_fuel,25
spermatozoon_motility,25
biodiesel,25
immunomodulation,25
tumor_marker,25
hematite,25
feasibility_study,25
hyperglycemia,25
pseudomonas_aeruginosa,25
wound_healing,25
public_policy,25
environmental_management,25
cathode,25
polyacrylamide_gel_electrophoresis,25
additive,25
drop,25
bacterial_gene,25
dyslipidemia,25
luteinizing_hormone,25
naproxen,25
tooth_germ,25
digital_storage,25
diclofenac,25
environmental_condition,25
livestock,25
pilot_study,25
phytochemical,25
cell_nucleus,25
synthesis_and_characterization,25
uric_acid,25
in-vitro,25
solid_state_fermentation,25
virulence,25
catalyst_selectivity,25
antinociception,25
antibacterial_activity,25
nonlinear_system,25
bacteria_(microorganisms),25
fluorine_compound,25
photo_catalytic_degradation,25
volatile_fatty_acid,25
caloric_intake,25
internet,25
protein_structure,24
cell_growth,24
calibration,24
phagocytosis,24
microbial_activity,24
population_dynamic,24
crystalline_structure,24
power,24
cerebrovascular_accident,24
hormone,24
spatial_analysis,24
rheology,24
glibenclamide,24
batch_reactor,24
sex_ratio,24
thermogravimetry,24
leptin,24
vasculotropin,24
cell_engineering,24
harmonic_analysis,24
time_domain_analysis,24
anisotropy,24
erythrocyte,24
gelatinase_b,24
behavioral_research,24
social_class,24
neuralgia,24
dna_repair,24
gene_amplification,24
diffuse_reflectance_spectroscopy,24
nutrient,24
detection_method,24
gel,24
cobalt_compound,24
cryopreservation,24
